,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,"2,521","2,522",,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,38,39,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,92,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,104,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,190,190,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,180,190,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,109,109,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,42,41,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,238,238,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,201,201,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,42,42,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,4,18,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,197,197,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,121,123,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,7,7,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,5,5,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,244,252,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,13,13,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,15,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,54,56,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,58,62,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,4,4,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,0,0,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,30,48,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,8,8,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,43,44,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,50,50,,,,,,,
Mid County Transit Authority,,,,,,,,,,19,19,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,49,49,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,1,1,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,52,52,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,18,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,20,18,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,95,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,102,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,_,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,15,,,,,,,
