,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"80,830,396",,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),"33,803,103","30,819,458","31,399,521","30,814,241","28,628,567","26,157,415","25,405,897","25,542,475","26,708,814","26,108,143","26,129,983","26,349,298","25,759,087","23,730,198","21,933,621",,"21,220,178","21,697,618"
ALTOONA METRO TRANSIT (AMTRAN),"535,113","481,760","512,997","536,238","565,004","596,211","579,083","573,866","547,451","537,486","546,084","521,794","620,437","567,046","55,881","564,373","573,506","698,825"
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"1,107,823","1,078,195","1,072,114","1,042,170","981,218","948,768","941,820","942,567","917,147","936,358","931,576","901,240","896,316","805,827","728,181","716,725","713,655","708,729"
BARTA (Berks Area Regional Transportation Authority),"1,756,552","1,825,763","1,813,367","1,726,679","1,785,103","1,773,558","1,769,467","1,740,297","1,725,436",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),"1,202,999","1,165,926","1,182,739","1,163,744","1,171,997","1,228,380","1,205,018","1,075,075","1,095,978","1,105,849","1,092,707","1,088,595","1,089,045","1,081,518","1,073,520","1,074,732","1,085,317","1,161,187"
Capital Area Transit (CAT),"1,930,743","1,913,159","1,889,149","1,951,040","2,019,639","1,973,189","1,878,610","1,851,668","1,861,128","1,835,605","2,044,267","2,020,396","2,000,818","2,013,652","2,134,741",,,
Capitol Bus Company,"32,338","32,188","25,441",,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"1,353,573","1,363,130","1,492,481","1,722,580","1,686,192","1,670,085","1,632,005","1,718,237","1,944,783","2,070,416","2,091,603","1,905,536","1,996,307","1,737,582","1,457,940","2,022,248","2,718,169","1,965,392"
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"1,050,121","1,097,749","1,158,288","1,172,356","1,193,793","1,180,300","1,164,826","1,162,623","1,176,351","1,122,975","1,182,977","1,235,016","1,143,088","999,187","916,420","1,126,070","1,219,984","1,251,242"
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"418,295","454,538","523,225","532,008","607,357","547,618","500,264","516,250","505,946","504,666","508,730","515,154","531,873","499,416","451,827","479,711","462,131","463,396"
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),"1,942,361","2,253,973","2,149,182","2,037,199","2,171,079","2,235,246","2,191,750","2,210,816","2,294,194","2,240,875","2,467,837","2,526,705","2,459,195","2,154,304","1,482,415","1,851,682","2,049,913","2,022,440"
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),"597,878","596,861","582,398","544,895","588,789","545,691","546,433","596,245","585,844","579,874","583,263","575,563","583,053","545,519","463,442","516,357","514,688","544,560"
HAZLETON PUBLIC TRANSIT (HPT),"359,846","374,378","363,927","362,192","360,914","394,538","421,245","453,726","436,380","450,588","417,843","423,262","419,096","409,947","380,980","373,848","414,812","424,549"
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),"3,687,840","3,784,121","3,869,929","3,775,319","3,885,697","3,827,422","4,171,864","4,090,317","4,415,653","3,920,782","3,976,844","4,139,645","3,940,411","3,698,194","3,497,390","3,715,124","3,986,154","4,264,478"
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),"1,079,619","1,087,082","1,100,531","1,101,714","1,136,404","1,127,895","1,134,185","1,146,272","1,166,920","1,247,935","1,290,890","1,314,846","1,365,304","1,350,932","1,349,164","1,342,003","1,346,320","1,373,353"
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),"649,186","710,158","758,856","889,897","818,659","809,071","816,746","843,499","783,445","803,272","771,294","773,135","771,999","750,377","708,088","750,265","774,703","779,339"
POTTSTOWN AREA RAPID TRANSIT (PART),"249,621","274,322","303,179","304,833","301,494","305,950","294,020","277,294","267,930","265,868","274,781","277,187","275,759","286,801","291,787","296,879","310,459","318,284"
RRTA (Red Rose Transit Authority),"1,575,668","1,737,567","1,772,748","1,681,979","1,823,058","1,767,615","1,765,741","1,678,576","1,699,969",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"136,642","146,120","142,340","151,387","146,606",,,,,,,,,,,,,
"Washington, City of","147,216","152,485","169,536","192,643","195,519","193,247","279,447","290,436","280,800",,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),"846,495","864,064","930,143","939,810","998,183","1,062,839","1,050,590","1,078,470","1,115,339","1,119,650","1,108,861","1,072,397","1,066,079","956,574","901,933","1,042,563","1,101,214","1,126,010"
Williamsport River Valley Transit (RVT),"878,956","834,887","843,496","846,409","837,978","836,601","830,877","856,527","876,200","877,456","869,740","875,694","926,025","903,680","905,796",,,
YCTA (York County Transportation Authority*),"1,634,625","1,517,247","1,547,746","1,566,498","1,577,905",,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,"1,148,117","1,175,235","1,191,183","1,234,673","1,305,898","1,356,560","1,401,295","1,404,576","1,393,649","1,414,669","1,404,943","1,523,264","1,510,224","1,376,912","1,183,805","1,368,613","1,368,291","1,401,949"
BUTLER TRANSIT AUTHORITY (BTA),"137,327","214,711","229,114","231,966","199,824","212,270","219,029","220,369","186,244","187,814","194,375","233,817","182,059","169,347","171,536","272,972","294,274","296,450"
