,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"53,645","56,007","53,793","45,872","52,151","51,151","44,909","39,472","45,180","40,670","38,147","40,422","43,021","36,580","23,708","24,802","29,407","31,242"
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"290,618","320,574","347,095","236,087","212,163","241,333","239,311","246,986","243,101","253,538","255,859","248,457","256,101","239,600","145,353","218,093","208,674","235,801"
Monroe Township,"48,583",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"56,710","50,814","56,406","55,900","55,073","19,880","23,055","28,423","29,205","29,701","32,184","32,660","32,821","33,520","31,565","20,035","20,522","23,001"
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"1,062,176","1,079,828","1,096,071","1,132,977","1,161,974","686,375","624,707","616,359","593,430","572,381","582,563","579,120","577,092","478,126","307,934","352,906","399,272","434,994"
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"232,139","235,727","248,571","243,768","233,174","245,136","217,381","212,250","208,500","202,154","200,013","183,968","189,211","169,210","121,639","131,744","154,418","166,115"
VCTO (Venango County Transportation Office),"55,920","57,304","57,793","53,794","57,978","63,110","63,787","56,270","52,151","54,485",,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"67,706","68,106","74,665","68,602","66,610","68,618","72,229","70,484","65,888","63,875","58,496","64,912","67,225","61,828","50,547","49,122","52,234","54,961"
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"108,364","104,609","114,597","92,268","86,329","78,986","87,354","88,617","68,801","45,161","53,151","61,784","71,337"
YATA (Central Pennsylvania Transportation Authority),,,,,,"1,651,953","1,583,049","1,699,341","1,680,293",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"23,316","94,095","100,229","103,775","116,104","89,997","55,155","69,277","85,325","90,544"
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"1,664,335","1,641,108","1,648,834","1,605,137","1,335,363","886,026",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,"4,885,518","4,640,596","4,708,059","4,450,830","3,888,302","2,822,706","2,894,917","3,264,823","3,479,597"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,"693,810","780,397","794,332"
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"2,012,120","2,409,413","2,645,829"
