,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"30,348","32,235","29,039","30,485","27,850","29,385","30,105","29,016","26,464","26,390","25,904","25,882","23,836","21,959","19,296","20,595","19,905","20,485"
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),"79,104","72,422","69,200","62,684","49,031","46,028","41,742","37,222","35,305","34,146","35,845","36,061","35,397","29,905","21,183","21,694","25,231","26,233"
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"31,522","31,496","30,145","24,402","23,382","21,623","17,546","13,145","14,914","12,230","10,616","11,387","13,096","11,695","6,723","6,729","8,003","10,581"
Monroe Township,"1,370",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"50,311","44,403","50,250","50,689","50,611","11,052","12,589","14,030","13,103","13,353","13,500","13,654","13,910","14,628","14,509","9,759","8,879","9,397"
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"457,520","455,741","443,495","452,688","432,736","105,500","81,002","75,218","80,221","82,345","87,289","84,560","84,340","70,168","50,266","62,797","69,434","68,043"
PITTSBURGH REGIONAL TRANSIT (PRT),"5,784,826","5,993,016","6,174,525","5,842,330","5,351,979","5,042,824","4,878,315","4,799,145","4,812,063","4,957,590","4,781,784","4,566,567","4,654,689","4,004,259","2,761,855",,"3,418,866","3,643,286"
POTTSTOWN AREA RAPID TRANSIT (PART),"40,843","37,023","37,649","42,017","43,355","45,087","38,653","38,030","40,257","44,787","42,937","44,767","44,206","31,601","23,515","26,342","31,534","33,469"
RRTA (Red Rose Transit Authority),"213,523","239,262","247,384","238,557","233,126","243,389","229,435","223,015","230,757",,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),"23,896,913",,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"131,351","132,970","132,526","121,722","108,491","96,812","82,832","71,750","61,063","59,792","58,641","52,868","56,030","45,385","32,936","35,086","35,893","38,437"
SVSS (Shenango Valley Shuttle Service),"25,217","27,220","29,104","22,769","18,525",,,,,,,,,,,,,
VCTO (Venango County Transportation Office),"13,260","13,017","12,949","12,015","11,632","11,195","11,482","10,436","10,411","11,558",,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),"81,443","83,270","80,685","74,246","77,634","77,507","72,340","72,967","70,327","71,512","71,393","60,814","56,152","47,002","32,385","35,482","41,996","48,560"
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"9,585","9,804","9,740","9,446","8,103","9,488","8,991","8,386","8,757","8,427","8,047","9,300","10,723","11,027","8,265","7,894","8,126","8,000"
"Washington, City of","16,867","17,463","17,010","14,098","13,947","12,636","9,114","10,335","8,999",,,,,,,,,
Williamsport River Valley Transit (RVT),"192,314","211,753","214,278","210,989","210,025","222,741","228,885","210,430","186,664","194,996","194,707","203,518","202,284","145,319","116,834",,,
YCTA (York County Transportation Authority*),"157,982","148,106","154,430","142,520","151,600",,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"20,662","20,476","16,221","15,246","14,504","12,704","12,482","12,671","10,033","7,692","6,721","7,312","10,497"
YATA (Central Pennsylvania Transportation Authority),,,,,,"159,253","149,668","174,154","170,524",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"8,416","18,164","17,076","16,273","16,206","15,426","12,523","12,794","16,196","16,419"
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"181,938","201,065","213,806","226,345","182,163","139,796",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,"662,862","679,029","702,311","714,481","637,719","479,055","536,309","566,013","608,607"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,"131,846","132,543","134,191"
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"346,006","383,204","418,490"
