,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),418,,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),405,410,439,402,398,382,390,368,377,374,_,,,,,,,
AMTRAN (Altoona Metro Transit),38,38,38,22,22,2,2,2,2,2,_,,,,,,,
BCTA (Beaver County Transit Authority*),23,23,23,23,23,23,21,21,24,24,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),37,37,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),10,,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),66,64,56,56,56,55,52,52,52,52,,,,,,,,
Capitol Bus Company,0,0,0,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),8,8,8,8,8,5,5,5,5,6,,,,,,,,
COLTS (County of Lackawanna Transit System),8,8,0,0,0,24,29,32,29,30,,,,,,,,
COLT (County of Lebanon Transit Authority),19,14,14,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),64,67,70,63,66,62,61,61,63,63,,,,,,,,
FACT (Fayette Area Coordinated Transportation),42,42,42,42,42,22,22,22,28,31,,,,,,,,
HPT (Hazleton Public Transit),3,3,3,3,3,4,4,4,4,4,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),120,120,105,105,105,,,,,108,,,,,,,,
LCTA (Luzerne County Transportation Authority),24,24,24,24,24,52,57,51,49,49,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),2,2,2,2,2,2,0,0,1,_,,,,,,,,
Pottstown Urban Transit,2,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),83,83,88,88,88,71,60,60,73,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),1,1,1,1,2,,,,,,,,,,,,,
"Washington, City of",29,4,4,4,4,3,3,3,3,,,,,,,,,
WCTA (Westmoreland County Transit Authority),92,,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),2,2,2,2,2,2,2,2,0,_,,,,,,,,
YCTA (York County Transportation Authority),55,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),0,0,0,0,48,48,48,48,55,48,,,,,,,,
BTA (Butler Transit Authority),0,0,0,0,0,0,0,0,0,_,,,,,,,,
Carbon County Community Transit,17,17,17,22,22,22,25,25,,,,,,,,,,
CATA (Crawford Area Transportation Authority),14,14,14,15,15,15,25,25,31,35,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",0,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),46,46,46,46,46,48,44,43,43,45,,,,,,,,
Indigo (Indiana County Transit Authority),14,19,19,,,,,,,,,,,,,,,
Mid-County Transit,0,0,0,0,0,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),35,35,35,35,35,35,33,39,39,37,,,,,,,,
Monroe Township,0,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",0,0,0,0,0,0,0,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),0,0,0,0,0,0,0,,,,,,,,,,,
STS (Schuylkill Transportation System),29,29,29,29,29,29,29,29,27,4,,,,,,,,
VCTO (Venango County Transportation Office),0,0,0,0,0,,0,0,21,23,,,,,,,,
Warren County Transit Authority,120,14,14,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,10,10,9,21,35,35,35,4,13,,,,,,,,
"Pottstown, Borough of",,2,2,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,92,92,92,92,140,145,129,,40,,,,,,,,
YCTA (York County Transportation Authority*),,55,55,55,41,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,0,0,0,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,37,40,60,60,62,64,64,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,14,14,14,14,14,14,14,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,2,2,2,2,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,18,18,18,14,14,14,14,,,,,,,,
"Warren County, Transit Authority of",,,,13,13,,17,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,0,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,108,108,108,105,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,30,2,2,31,2,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,53,52,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,0,0,0,0,4,,,,,,,,
Mid County Transit Authority,,,,,,13,15,15,23,22,,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,52,,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,0,,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,14,,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,73,,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,61,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,129,,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,25,24,,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,0,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,17,10,,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,224,,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,113,,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,70,,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,_,_,_,_,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,_,_,_,_,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,_,_,_,_,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,_,_,_,_,,,
