,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),Feb. 1996 (25%),Feb. 1996 (25%),Feb. 1996 (25%),Feb 1996 (25%),February 1996 (25%),February 1996,Feb. 1996 (25%),"July, 2014 (20%)","July, 2014",July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),Dec. 2004 (25%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2014,July 2014,July 2014,July 2014,January 2018,January 2018,January 2018,January 2018,January 2018,January 2018
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"August, 2003 (25%)",Aug. 2003 (25%),Aug. 2003 (25%),Aug 2003 (25%),August 2003 (25%),April 2012 (25%),April 2012 (25%),April 2012 (25%),April 2012,April 2012,April 2012,April 2012,April 2012,April 2012,April 2012,April 2012,April 2012,April 2012
Monroe Township,"July, 2001",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"August, 2007 (30%)",Aug. 2007 (30%),Aug. 2007 (30%),Aug 2007 (30%),August 2007 (30%),August 2007 (30%),August 2007 (43%),August 2007 (43%),August 2007,August 2007,August 2007,August 2007,August 2007,August 2007,August 2007,August 2007,August 2007,August 2007
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"July, 1989 (25%)",July 1989 (25%),July 1989 (25%),July 1989 (25%),March 2012 (25%),March 2012,March 2012 (33%),March 2012 (33%),March 2012,March 2012,March 2012,March 2012,March 2012,March 2012,March 2012,March 2012,March 2012,March 2012
PITTSBURGH REGIONAL TRANSIT (PRT),Sept. 2002 (9%),Jan. 2008 (14.3%),Jan. 2008 (14.3%),Jan 2008 (12.5%),Jan 2011 (12.5%),July 2012 (11.1%),July 2012 (11.1%),July 2012 (11%),July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,,January 2022,January 2022
POTTSTOWN AREA RAPID TRANSIT (PART),1995 (25%),2007 (20%),2007 (20%),2007 (20%),2007 (20%),Sep 2012 (13.3%),Sep 2012 (13.3%),July 2014 (12%),July 2014,July 2016,July 2016,July 2016,July 2018,July 2018,July 2018,July 2018,July 2018,July 2018
RRTA (Red Rose Transit Authority),July 2007 (8%),July 2007 (8%),July 2007 (8%),August 2010 (7%),July 2011 (6%),August 2011 (6%),August 2011 (6%),August 2011 (6%),August 2011,,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),"July, 2001 (25%)",,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 2012 (4%),July 2012 (4%),July 2012 (4%),July 2015,July 2016,July 2016,July 2017,July 2017,July 2017,July 2017,July 2017,July 2017,July 2017
SVSS (Shenango Valley Shuttle Service),"July, 2006 (33%)",July 2006 (33%),July 2006 (33%),July 2006 (33%),July 2006 (33%),,,,,,,,,,,,,
VCTO (Venango County Transportation Office),"July, 2005 (20%)",July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005,July 2005,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),1992 (20%),Feb. 2008 (25%),Feb. 2008 (25%),Feb 2008 (25%),Feb 2008 (25%),Jan 2013 (16.7%),Jan 2014 (14.3%),Jan 2014 (14%),Jan 2014,January 2014,January 2014,January 2014,January 2014,January 2014,January 2014,January 2014,January 2014,January 2014
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),Nov. 1999 (25%),Nov. 1999 (25%),Nov. 1999 (25%),Nov 1999 (25%),Nov 1999 (25%),July 2012 (33%),July 2012 (33%),July 2012 (33%),July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2022,July 2022,July 2022
"Washington, City of","June, 2004 (10%)",June 2004 (10%),June 2004 (10%),June 2004 (10%),June 2004 (10%),July 2012 (36.4%),July 2012 (36.4%),July 2012 (36%),July 2012,,,,,,,,,
Williamsport River Valley Transit (RVT),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),Sept. 2014 (10%),May 2005,May 2005,May 2005,May 2005,May 2005,May 2005,May 2005,,,
YCTA (York County Transportation Authority*),Jan. 2007 (4%),Jan. 2007 (4%),Jan. 2007 (4%),Jan 2008 (4%),January 2008 (4%),,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,July 2006 (33%),July 2006 (33%),July 2014 (25%),July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014
YATA (Central Pennsylvania Transportation Authority),,,,,,July 2012 (7.1%),July 2013 (3.3%),July 2013 (3%),July 2013,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,May 2011,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2024
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,July 2014,July 2014,July 2014,July 2014,July 2014,July 2014,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,July 2011,July 2011,July 2011,July 2011,July 2011,January 2021,January 2021,January 2021,January 2021
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,May 2005,May 2005,May 2005
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,July 2014,July 2014,July 2014
