,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mid County Transit Authority,,,,,,"17,610","17,610","17,610","17,610","17,610","17,610",,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,"537,169",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,"29,713",,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,"25,626",,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,"61,634",,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,"296,066",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"537,169",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,"25,419","58,356","58,356",,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,"29,713","29,713","29,713",,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,"25,626","25,626","25,626",,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,"537,169","537,169",,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,"930,887","930,887",,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,"61,634","61,634",,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,"170,596",,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,"1,415,244","1,415,244","1,415,244",,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,"224,780","224,780","264,768",,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,"170,596","170,596","170,596",,,,
Butler Transit Authority (BTA),,,,,,,,,,,,"31,084","31,084","31,084",,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,"143,679","143,679","143,679",,,,
Capital Area Transit (CAT),,,,,,,,,,,,"508,279","508,279","508,279",,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,"58,356","58,356","58,356",,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,"537,169","537,169","537,169",,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,"104,360","104,360","104,360",,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,"141,292","141,292","141,292",,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,"74,880","74,880","74,880",,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,"51,000","51,000","51,000",,,,
