,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"['15', '9']","['15', '9']","['15', '9']","['15', '9']","['15', '9']","['15', '9']","['15', '4']","['15', '3']","['33', '29']",,,,,,,,,
Monroe Township,"['1', '5']",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"['8', '0']","['8', '0']","['8', '0']","['8', '0']","['8', '0']","['5', '0']","['2', '3']","['1', '1']","['1', '1']",,,,,,,,,
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),"['55', '0']","['55', '0']","['55', '0']","['55', '0']","['55', '0']","['55', '0']","['55', '0']","['53', '4']","['50', '4']",,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"['37', '7']","['25', '3']","['25', '3']","['25', '3']","['27', '3']","['25', '4']","['25', '4']","['26', '1']","['18', '2']",,,,,,,,,
VCTO (Venango County Transportation Office),"['4', '3']","['4', '3']","['4', '3']","['5', '5']","['5', '5']","['5', '5']","['5', '5']","['5', '2']","['4', '2']",,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"['6', '7']","['6', '7']","['6', '7']","['6', '3']","['6', '4']","['6', '4']","['6', '4']","['6', '4']","['6', '5']",,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"['3', '3']","['3', '5']","['3', '4']","['6', '0']",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,"['76', '2']","['76', '2']","['76', '2']","['102', '16']",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"['0', '1']",,,,,,,,,
