,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,"$27,453,060","$27,668,699","$27,668,699","$26,643,597","$27,463,950","$27,668,699","$29,052,134","$31,867,438","$33,238,401","$33,728,043","$34,471,274","$35,264,776","$35,900,235","$36,727,523",,"$40,526,646","$42,057,406"
ALTOONA METRO TRANSIT (AMTRAN),,"$96,692","$101,527","$106,603","$111,933","$117,530","$123,407","$129,577","$136,056","$142,859","$150,002","$157,502","$165,377","$173,646","$182,328","$191,444","$201,016","$211,067"
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,"$326,140","$342,446","$359,569","$377,548","$396,425","$416,247","$437,059","$458,912","$538,740","$551,617","$571,556","$592,386","$608,342","$629,222","$650,597","$724,145","$761,606"
BARTA (Berks Area Regional Transportation Authority),,"$343,662","$360,845","$378,887","$397,831","$417,723","$438,609","$460,539","$483,566",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,"$495,706","$520,491","$546,515","$573,841","$602,533","$632,659","$664,292","$697,507","$732,383","$769,002","$807,453","$847,826","$890,217","$934,728","$981,464","$1,030,537","$1,082,064"
Capital Area Transit (CAT),,"$572,056","$600,659","$630,692","$662,227","$695,338","$730,105","$766,610","$804,941","$845,188","$887,447","$931,819","$978,410","$1,027,331","$1,078,698",,,
Capitol Bus Company,,"$17,721","$18,718",,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,"$354,842","$372,584","$391,213","$410,774","$431,313","$452,879","$475,523","$499,299","$524,264","$550,477","$578,001","$606,901","$637,246","$669,108","$702,563","$737,691","$774,576"
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,"$422,684","$443,818","$466,009","$489,309","$513,774","$539,463","$566,436","$594,758","$624,496","$655,721","$688,507","$722,932","$759,079","$797,033","$836,885","$878,729","$922,665"
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,"$65,709","$68,994","$72,444","$76,066","$79,869","$83,862","$88,055","$92,458","$97,081","$101,935","$107,032","$112,384","$118,003","$123,903","$130,098","$136,603","$143,433"
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,"$611,933","$642,529","$674,655","$708,388","$743,807","$780,997","$820,047","$861,049","$904,101","$949,306","$996,771","$1,046,610","$1,098,941","$1,153,888","$1,211,582","$1,272,161","$1,335,769"
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,"$72,828","$87,393","$87,393","$84,155","$86,738","$97,277","$102,141","$107,248","$151,259","$158,119","$168,040","$178,841","$187,497","$198,965","$211,212","$249,132","$271,248"
HAZLETON PUBLIC TRANSIT (HPT),,"$95,478","$100,251","$105,264","$110,527","$116,053","$121,856","$127,949","$134,346","$141,063","$148,116","$155,522","$163,298","$171,463","$180,036","$189,038","$198,490","$208,415"
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,"$587,790","$617,180","$648,039","$680,441","$714,463","$750,186","$787,695","$827,080","$868,434","$911,856","$957,449","$1,005,321","$1,055,587","$1,108,366","$1,205,729","$1,221,973","$1,331,512"
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,"$362,171","$380,280","$399,294","$419,259","$440,222","$462,233","$485,345","$509,612","$535,093","$561,848","$589,940","$619,437","$650,409","$682,929","$717,075","$752,929","$790,575"
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,"$45,119","$47,374","$49,743","$52,230","$54,842","$57,584","$60,463","$63,486","$66,660","$69,993","$73,493","$77,168","$81,026","$85,077","$89,331","$93,798","$98,488"
POTTSTOWN AREA RAPID TRANSIT (PART),,"$52,498","$55,123","$57,879","$60,773","$63,812","$67,003","$70,353","$73,871","$77,565","$81,443","$85,515","$89,791","$94,281","$98,995","$103,945","$109,142","$114,599"
RRTA (Red Rose Transit Authority),,"$184,305","$193,521","$203,197","$213,357","$224,025","$235,226","$246,987","$259,336",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,"$37,930","$39,827","$41,818","$43,909",,,,,,,,,,,,,
"Washington, City of",,"$109,979","$115,478","$121,252","$127,315","$133,681","$140,365","$147,383","$154,752",,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,"$213,051","$223,703","$234,888","$246,632","$258,964","$271,912","$285,507","$299,782","$314,771","$330,509","$347,035","$364,387","$382,607","$401,737","$421,824","$442,915","$465,061"
Williamsport River Valley Transit (RVT),,"$226,024","$237,325","$249,191","$261,651","$274,734","$288,471","$302,895","$318,040","$333,942","$350,639","$368,171","$386,580","$405,909","$426,204",,,
