,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,"$183,020,400","$184,457,990","$184,457,990","$177,623,977","$183,093,002","$184,457,990","$204,457,990","$212,449,588","$221,589,338","$224,853,621","$229,808,491","$235,098,508","$239,334,902","$244,850,155",,"$270,177,642","$280,382,707"
ALTOONA METRO TRANSIT (AMTRAN),,"$2,302,913","$2,387,064","$2,298,625","$2,298,625","$2,369,400","$2,401,014","$2,553,288","$2,713,473","$2,890,413","$2,949,971","$3,041,083","$3,136,851","$3,207,473","$3,315,833","$3,436,118","$3,887,730","$4,129,854"
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,"$2,552,736","$2,995,854","$2,884,860","$2,884,860","$2.973,660","$3,002,857","$3,116,439","$3,340,221","$3,591,603","$3,677,447","$3,810,376","$3,949,243","$4,055,614","$4,194,810","$4,337,315","$4,827,635","$5,077,376"
BARTA (Berks Area Regional Transportation Authority),,"$5,860,266","$6,948,159","$6,690,736","$6,690,736","$6,896,743","$6,971,612","$7,368,393","$7,931,351",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,"$5,702,093","$5,833,890","$5,617,749","$5,617,749","$5,790,578","$5,833,890","$6,005,477","$6,344,363","$6,687,111","$6,804,852","$6,986,749","$7,177,707","$7,328,038","$7,526,648","$7,751,606","$8,598,960","$9,024,557"
Capital Area Transit (CAT),,"$5,361,390","$6,416,998","$6,179,254","$6,179,254","$6,369,512","$6,503,345","$6,903,528","$7,421,148","$7,999,678","$8,200,907","$8,503,319","$8,841,110","$9,100,664","$9,437,252",,,
Capitol Bus Company,,"$118,134","$124,785",,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,"$2,815,238","$3,378,286","$3,253,123","$3,253,123","$3,353,287","$3,760,383","$4,470,510","$5,063,802","$5,785,172","$6,016,341","$6,430,401","$6,861,590","$7,191,498","$7,630,856","$8,070,539","$9,114,291","$9,978,602"
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,"$5,828,003","$6,336,434","$6,101,674","$6,101,674","$6,289,608","$6,336,434","$6,336,434","$6,289,858","$6,653,784","$6,781,013","$6,973,109","$7,174,393","$7,348,237","$7,562,994","$7,782,368","$8,525,077","$8,984,631"
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,"$1,206,767","$1,351,452","$1,301,382","$1,301,382","$1,341,330","$1,458,143","$1,570,302","$1,685,132","$1,820,046","$1,867,188","$1,939,535","$2,015,866","$2,075,986","$2,157,009","$2,243,270","$2,545,463","$2,710,262"
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,"$5,759,313","$6,817,189","$6,564,618","$6,564,618","$6,766,674","$6,993,855","$7,634,969","$8,369,496","$9,089,131","$9,347,654","$9,723,232","$10,136,346","$10,463,058","$10,882,308","$11,303,121","$12,362,862","$13,041,119"
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,"$485,517","$582,620","$582,620","$561,034","$578,254","$648,516","$769,260","$877,942","$1,008,395","$1,051,458","$1,120,266","$1,192,270","$1,249,979","$1,326,436","$1,408,079","$1,660,882","$1,808,318"
HAZLETON PUBLIC TRANSIT (HPT),,"$1,489,523","$1,561,118","$1,503,280","$1,503,280","$1,549,425","$1,549,425","$1,638,370","$1,745,084","$1,872,380","$1,917,106","$1,984,617","$2,051,540","$2,105,354","$2,174,972","$2,252,707","$2,527,593","$2,671,653"
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,"$9,700,688","$11,640,826","$11,209,543","$11,209,543","$11,553,636","$12,007,552","$13,491,288","$14,673,110","$15,965,932","$16,431,609","$17,102,620","$17,809,570","$18,367,995","$19,084,811","$20,145,051","$23,026,402","$24,483,867"
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,"$4,464,782","$4,877,313","$4,696,613","$4,696,613","$4,840,733","$4,578,510","$4,842,542","$5,149,086","$5,494,688","$5,615,005","$5,806,543","$6,014,481","$6,182,192","$6,411,756","$6,672,064","$7,652,424","$8,139,181"
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,"$1,880,154","$2,156,246","$2,046,507","$2,046,507","$2,109,307","$2,187,801","$2,350,666","$2,527,291","$2,725,038","$2,787,777","$2,886,184","$2,988,032","$3,068,247","$3,173,216","$3,290,237","$3,704,785","$3,936,030"
POTTSTOWN AREA RAPID TRANSIT (PART),,"$823,874","$938,506","$903,735","$903,735","$931,467","$958,299","$1,033,831","$1,109,802","$1,194,445","$1,223,685","$1,269,254","$1,317,716","$1,356,595","$1,406,875","$1,463,232","$1,675,991","$1,790,289"
RRTA (Red Rose Transit Authority),,"$3,699,797","$4,439,756","$4,275,267","$4,275,267","$4,406,458","$4,749,510","$5,360,386","$5,832,842",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,"$633,963","$648,813","$624,775","$624,775",,,,,,,,,,,,,
"Washington, City of",,"$936,319","$955,921","$920,505","$920,505","$948,752","$979,449","$1,031,794","$1,092,284",,,,,,,,,
