,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Warren County, Transit Authority of",,,,"$493,681","$493,681",,"$518,216",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,"$431,131",,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,"$11,553,636","$12,007,552","$13,491,288","$14,673,110",,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,"$643,947","$649,210","$661,239","$696,789","$749,370","$767,113",,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,"$3,965,254","$4,288,411",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,"$444,362","$466,124","$482,523","$517,410","$557,630","$570,514",,,,,,,
Mid County Transit Authority,,,,,,"$498,514","$502,281","$512,996","$546,849","$578,790","$590,000",,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,"$4,746,374",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,"$283,720",,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,"$561,195",,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,"$217,048",,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,"$2,981,743",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"$5,147,045",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,"$233,917","$244,429","$248,223",,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,"$273,664","$292,254","$298,898",,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,"$599,733","$644,370","$659,938",,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,"$6,355,701","$6,533,691",,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,"$14,888,918","$15,279,717",,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,"$1,400,974","$1,431,031",,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,"$3,677,447",,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,"$6,804,852",,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,"$3,323,736",,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,"$229,808,491","$235,098,508","$239,334,902",,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,"$5,355,279","$5,586,366","$5,766,960",,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,"$3,810,376","$3,949,243","$4,055,614",,,,
Butler Transit Authority (BTA),,,,,,,,,,,,"$928,929","$964,388","$995,474",,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,"$6,986,749","$7,177,707","$7,328,038",,,,
Capital Area Transit (CAT),,,,,,,,,,,,"$8,503,319","$8,841,110","$9,100,664",,,,
