,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
YATA (York Adams Transportation Authority*),,,,,,,,"129,646",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,"4,989",,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,"10,508",,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,"5,249",,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,"57,080",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"127,623",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,"3,029","2,725",,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,"5,058","5,188",,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,"10,712","10,522",,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,"123,418",,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,"257,936",,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,"23,279",,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,"54,534",,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,"2,012,014","1,977,552","1,823,848","1,761,650",,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,"39,006","47,343","47,742","47,431",,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,"118,657","117,267","107,852","101,792",,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,"52,481","53,767","48,627","47,057",,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,"5,725","5,900","4,584","4,900",,,
Butler Transit Authority (BTA),,,,,,,,,,,,"16,809","15,650","15,223","15,547",,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,"82,804","83,000","82,398","81,654",,,
Capital Area Transit (CAT),,,,,,,,,,,,"134,030","131,891","134,916","162,293",,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,"8,464","3,007","2,352","3,126",,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,"125,082","125,113","123,545","125,420",,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,"161,555","161,985","136,452","118,236",,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,"100,575","96,369","88,090","83,665",,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,"30,511","30,870","28,992","27,436",,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,"27,403","28,941","28,969","26,900",,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,"21,422","20,916","21,755","22,629",,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,"183,104","179,630","155,483","104,151",,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,"30,613","31,322","29,759","25,370",,,
Hazleton Public Transit (HPT),,,,,,,,,,,,"31,747","31,439","30,681","28,462",,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,"36,457","34,035","30,478","27,568",,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,"308,158","296,963","280,202","268,097",,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,"86,877","94,199","95,232","96,316",,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,"13,357","14,133","12,651","14,178",,,
Mid County Transit Authority (TACT),,,,,,,,,,,,"8,679","7,107","6,593","4,714",,,
