,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POTTSTOWN AREA RAPID TRANSIT (PART),$1.25,$1.50,$1.50,$1.50,$1.50,$1.70,$1.70,$1.90,$1.90,$2.00,$2.00,$2.00,$2.25,$2.25,$2.25,$2.25,$2.25,$2.25
RRTA (Red Rose Transit Authority),$1.35,$1.35,$1.50,$1.60,$1.70,$1.70,$1.70,$1.70,$1.70,,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),$2.00,,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),$1.25,$1.25,$1.25,$1.25,$1.25,$1.30,$1.30,$1.30,$1.40,$1.45,$1.45,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50
SVSS (Shenango Valley Shuttle Service),$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,,,,,,,,
VCTO (Venango County Transportation Office),$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),$1.20,$1.50,$1.50,$1.50,$1.50,$1.75,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),$0.75,$0.75,$0.75,$0.75,$0.75,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.25,$1.25,$1.25
"Washington, City of",$1.10,$1.10,$1.10,$1.10,$1.10,$1.50,$1.50,$1.50,$1.50,,,,,,,,,
Williamsport River Valley Transit (RVT),$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,,
YCTA (York County Transportation Authority*),$1.35,$1.35,$1.35,$1.40,$1.40,,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,$1.00,$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25
YATA (Central Pennsylvania Transportation Authority),,,,,,$1.50,$1.55,$1.60,$1.60,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$2.00
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,$1.60,$1.60,$1.60,$1.60,$1.60,$1.60,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,$1.70,$1.70,$1.70,$1.70,$1.70,$1.80,$1.80,$1.80,$1.80
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,$2.00,$2.00,$2.00
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
