,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RRTA (Red Rose Transit Authority),"['180', '15']","['180', '15']","['180', '15']","['201', '15']","['201', '15']","['208', '45']","['189', '56']","['175', '34']","['229', '14']",,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),"['8,870', '136']",,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),"['46', '15']","['45', '17']","['45', '17']","['45', '17']","['49', '16']","['47', '18']","['47', '18']","['49', '14']","['29', '12']",77,62,73,73,73,62,65,65,65
SVSS (Shenango Valley Shuttle Service),"['6', '2']","['6', '2']","['6', '2']","['6', '2']","['4', '3']",,,,,,,,,,,,,
VCTO (Venango County Transportation Office),"['4', '3']","['4', '3']","['4', '3']","['5', '8']","['5', '8']","['5', '8']","['5', '5']","['5', '2']","['14', '8']",27,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),"['192', '46']","['192', '46']","['192', '46']","['192', '46']","['192', '46']","['173', '93']","['173', '87']","['139', '83']","['112', '15']",129,129,128,128,128,128,152,152,152
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"['10', '14']","['10', '14']","['10', '14']","['11', '8']","['12', '8']","['12', '8']","['12', '8']","['10', '14']","['11', '13']",30,29,29,29,28,28,28,28,28
"Washington, City of","['13', '46']","['4', '13']","['4', '13']","['4', '13']","['4', '13']","['4', '10']","['6', '8']","['12', '1']","['15', '2']",,,,,,,,,
Williamsport River Valley Transit (RVT),"['42', '8']","['42', '8']","['42', '8']","['44', '11']","['44', '9']","['47', '6']","['49', '1']","['49', '1']","['51', '6']",56,59,63,76,76,76,,,
YCTA (York County Transportation Authority*),"['95', '61']","['95', '61']","['95', '61']","['95', '61']","['95', '61']",,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"['4', '4']","['3', '7']","['3', '6']","['27', '8']",15,15,15,15,15,15,15,15,15
YATA (Central Pennsylvania Transportation Authority),,,,,,"['95', '61']","['95', '61']","['95', '61']","['193', '106']",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"['8', '5', '2', '7']",137,137,137,137,137,88,96,96,96
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,450,450,450,459,441,441,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,402,411,403,403,372,448,448,448,448
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,86,86,86
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,676,676,676
