,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
WCTA (Westmoreland County Transit Authority*),,"[192, 46]","[192, 46]","[192, 46]","[192, 46]","[173, 93]","[173, 87]","['139', '83']",,129,,,,,,,,
YCTA (York County Transportation Authority*),,"[95, 61]","[95, 61]","[95, 61]","[95, 61]",,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,"[7, 2]","[8, 0]","[8, 0]",,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,"[144, 8]","[151, 6]","[163, 9]","[163, 9]","[175, 8]","['169', '7']","['163', '8']",,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,"[47, 3]","[50, 7]","[50, 7]","[44, 6]","['44', '6']","['41', '6']",47,48,,,,,,,
PART (Pottstown Area Rapid Transit),,,,"[7, 7]","[26, 1]","[26, 1]","[26, 6]",,,,27,,,,,,,
IndiGO (Indiana County Transit Authority),,,,"[32, 16]","[33, 19]","[37, 19]","[37, 19]","['37', '19']","['44', '10']",59,59,,,,,,,
"Warren County, Transit Authority of",,,,"[11, 8]","[12, 8]",,"[12, 8]",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,"[7, 2]",,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,"[172, 5]","[201, 7]","['201', '7']","['347', '33']",,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,"[4, 4]","[3, 7]","['3', '6']","['27', '8']",15,15,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,"[95, 61]","[95, 61]",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,"[7, 3]","[7, 3]","['7', '4']","['7', '5']",12,12,,,,,,,
Mid County Transit Authority,,,,,,"[25, 6]","[15, 6]","['12', '7']","['21', '7']",26,26,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,"['95', '61']",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,"['3', '5']",,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,"['10', '14']",,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,"['8', '5', '2', '7']",,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,"['112', '15']",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"['193', '106']",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,"['25', '9']",31,31,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,"['3', '6']",7,7,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,"['11', '13']",30,29,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,450,450,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,402,411,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,137,137,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,95,,,,,,,
