,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
YCTA (York County Transportation Authority*),,"[19, 59]","[19, 59]","[19, 59]","[19, 59]",,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,"[0, 0]","[0, 0]","[0, 0]",,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,"[48, 1]","[53, 2]","[71, 4]","[71, 4]","[78, 4]","['72', '4']","['55', '3']",,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,"[15, 0]","[16, 3]","[16, 3]","[13, 4]","['13', '4']","['13', '5']",,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,"[0, 4]","[1, 7]","[1, 5]","[1, 5]","['1', '5']","['9', '5']",,,,,,,,,
"Warren County, Transit Authority of",,,,"[5, 5]","[6, 4]",,"[6, 4]",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,"[0, 0]",,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,"[4, 2]","[0, 0]","['0', '0']","['5', '0']",,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,"[1, 1]","[0, 2]","['0', '2']","['21', '8']",,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,"[19, 59]","[19, 59]",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,"[0, 0]","[0, 0]","['0', '0']","['0', '0']",,,,,,,,,
Mid County Transit Authority,,,,,,"[15, 5]","[10, 5]","['8', '6']","['14', '5']",,,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,"['19', '59']",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,"['0', '0']",,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,"['4', '10']",,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,"['1', '2', '0']",,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,"['8', '1']",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"['83', '69']",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,"['0', '0']",,,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,"['0', '0']",,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,"['5', '6']",,,,,,,,,
