,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SVSS (Shenango Valley Shuttle Service),"['1', '1']","['1', '1']","['1', '1']","['1', '1']","['1', '1']",,,,,,,,,,,,,
VCTO (Venango County Transportation Office),"['0', '0']","['0', '0']","['0', '0']","['0', '3']","['0', '3']","['0', '3']","['0', '0']","['0', '0']","['10', '6']",,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),"['148', '14']","['148', '14']","['148', '14']","['148', '14']","['148', '14']","['140', '56']","['8', '0']","['10', '0']","['8', '1']",,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"['4', '7']","['4', '7']","['4', '7']","['5', '5']","['6', '4']","['6', '4']","['6', '4']","['4', '10']","['5', '6']",,,,,,,,,
"Washington, City of","['10', '36']","['1', '3']","['1', '3']","['1', '3']","['1', '3']","['0', '0']","['0', '0']","['0', '0']","['2', '1']",,,,,,,,,
Williamsport River Valley Transit (RVT),"['0', '2']","['0', '2']","['0', '2']","['0', '2']","['0', '2']","['0', '2']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
YCTA (York County Transportation Authority*),"['19', '59']","['19', '59']","['19', '59']","['19', '59']","['19', '59']",,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,"['1', '1']","['0', '2']","['0', '2']","['21', '8']",,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,"['19', '59']","['19', '59']","['19', '59']","['83', '69']",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,"['1', '2', '0']",,,,,,,,,
